"offset","length","text"
"205471","96","I'm in complete awe of the balls it takes to go out there and find some crap somebody else lost."
"205568","110","Can read just well enough to scrape by. Dodges any assignment that might require more than that. (Slower Wits)"
"205679","206","Kilo and I have worked together since I was a new Lieutenant in Afghanistan. I don't know what I'm going to tell his wife and his daughters. They're so far away ... can I even get a message to them anymore?"
"205886","50","Invited a community member to follow you 10 times."
"205937","20","Need a Machine Shop!"
"205958","18","Time to head home."
"205977","29","Must be placed on a building."
"206007","6","Day %d"
"206014","31","I'm going home. See you around."
"206046","66","Whoa, you've got, like, a whole zombie base! This is frickin' rad!"
"206113","32","Trait Discovered: Problem Solver"
"206146","79","This could work. Nice size, remote enough that there's not too many zombies...."
"206226","127","After witnessing the death of his rescuer, Doctor Hall attempted to flee on his own, but soon fell prey to the zombies himself."
"206354","18","Event: Morale Drop"
"206373","60","If I get sick they're gonna shoot me in the head, I know it."
"206434","77","We let things get toxic in the community and now we've paid the price. - %1$s"
"206512","40","All right, I think I'm okay now. Thanks."
"206553","29","XP penalty from A Pack a Day."
"206583","104","Sgt. Tan's artillery buddies will now provide support for you from afar if you toss an artillery marker."
"206688","69","We can't raise them on the radio--I'm afraid they're in real trouble."
"206758","118","You don't get special treatment just because you're pissed off. Don't act like the enemy or I will treat you like one."
"206877","42","My notebook looks like I'm a crazy person."
"206920","21","Everything okay, man?"
"206942","26","We need to find more food."
"206969","27","Assault Rifle: 552 Commando"
"206997","26","Requires OFFSHORE ACCOUNT."
"207024","17","Watch the Birdie!"
"207050","27","Sounds good. I'm on my way."
"207078","8","Lawrence"
"207087","29","The Kremlin says nyet to zeds"
"207117","127","Doctor Horn had a close collaborator -- a grad student named Madison Grant, last seen at a makeshift shelter just outside town."
"207245","28","It's her way or the highway."
"207274","39","Some hurts take a lifetime to overcome."
"207314","14","All done here."
"207329","93","His family fled from government death squads as a child. This outbreak is nothing new to him."
"207423","39","Plus, can you say ""homemade ice cream?"""
"207463","22","COMPLETED: Bad Tidings"
"207486","48","There's nothing quite like cracking some skulls."
"207535","22","UPGRADED: Food Storage"
"207558","11","LEADERBOARD"
"207570","26","You see a horde, sing out."
"207597","90","I can't remember the last time I had a decent night's sleep. We need to build a bunkhouse."
"207688","12","Music Volume"
"207701","49","Guess I should have expected somebody to miss me."
"207751","50","Head of the county's Department of Transportation."
"207802","171","We brought a case of blood samples back from the medical examiner's office, but honestly I'd trade them in a heartbeat if it meant saving the poor guy we couldn't protect."
"207979","9","Pemberton"
"207989","39","The pages are too blood-soaked to read."
"208029","21","Clear The Infestation"
"208051","54","Might be a good friend to have. Might be full of shit."
"208106","23","9 MIL Maj Nigel Matavao"
"208130","195","The town of Spencer's Mill is almost completely overrun with the walking dead. Pastor Will has welcomed a group of survivors into the church, where they are doing what they can to survive. - %1$s"
"208326","81","Might want to consider finding a suppressor for your gun, if you haven't already."
"208408","19","Let's take a break."
"208428","84","The Sheriff wants some help clearing infestations. Guess I've been deputized. - %1$s"
"208513","167","We have a new commanding officer. Hopefully, they'll do a better job of staying alive than the last one. Check the Ops Center to see what the Lieutenant is capable of."
"208681","90","As for you... well. I guess we owe you one. Nice to see not all the decent folks are gone."
"208772","34","But at least we can make them now."
"208807","8","Richards"
"208816","17","Wait, wait, what?"
"208834","78","You might want to come back and restock. You don't want to rush in unprepared."
"208913","59","Listen, I don't think anybody here knows how to treat that."
"208973","50","A nuke? There are still people alive in this city."
"209024","73","Hey listeners, there is going to be an ... interruption in our broadcast."
"209110","19","Remove Food Storage"
"209130","102","Holding hands and singing kumbaya isn't gonna keep us alive. Folks around here ought to remember that."
"209239","26","Now that you mention it..."
"209266","30","Start a New Breakdown Scenario"
"209297","24","DANGER: Bloater Sighting"
"209322","79","We should check out the signal that Lily discovered. Could be important. - %1$s"
"209402","36","I'm sorry. I shouldn't have assumed."
"209439","33","We've got someone out scavenging."
"209480","118","All right, here's the deal. You work for us, you get a cut of whatever we bring in. Food, ammo, gas... well. Whatever."
"209605","27","Shit, Lily. We're down one."
"209633","8","Careful!"
"209642","31","Slow help is no help, they say."
"209674","8","Watanabe"
"209683","11","You earned:"
"209695","21","I'm your huckleberry."
"209717","50","Heavily customized, drum fed, nicknamed ""Bonesaw""."
"209768","19","Revolver: Viper PPC"
"209788","13","Trucker Pills"
"209802","66","Only reason I haven't killed myself already is I don't have a gun."
"209869","15","SET UP: Kitchen"
"209885","34","Might be worth checking out later."
"209925","119","Might have been a foolish move, but I turned down an offer from the Wilkersons. At least Lily'll be proud of me. - %1$s"
"210045","107","Marcus didn't join us until pretty late in this whole thing, but right from the beginning he was one of us."
"210153","24","We're not safe anywhere."
"210178","80","I didn't really know Ed. I don't think any of us did, really, except for Marcus."
"210259","63","My world is nothing but evacuation. Kill me now. Please. - %1$s"
"210323","60","TIP: Press [ul_radio_menu] use your radio to call in favors."
"210384","61","So the dispensary she uses gets raided a week before my trip."
"210446","52","First against the wall when the revolution comes...."
"210499","15","Gimme a minute."
"210515","14","Sloppy Joe Mix"
"210530","15","Judge Constance"
"210546","15","Kill Everything"
"210562","35","So? When are they coming to get us?"
"210598","45","How hard can it be to find a damn Juggernaut?"
"210644","9","4 seconds"
"210654","29","Destroy 10 hordes in one day."
"210684","11","Wait a sec!"
"210696","19","Welcome to Danforth"
"210724","31","Secure the Crash Site from Zeds"
"210756","70","Can somebody get a bird's eye view of things and tell us what you see?"
"210827","20","Center for research."
"210848","35","You're not supposed to be out here."
"210884","54","I've found a place to hide that's really well-stocked."
"210939","19","Rifle: SOCOM II ETR"
"210959","19","This is a bad idea."
"210979","103","Or... wait... was I supposed to take a left back there? Shit. Mind watching my back while I check this?"
"211095","50","Somebody call for an airstrike? Pick out a target!"
"211146","83","Setting things up for safe food storage allows us to attempt sanitary food storage."
"211230","35","Tell this survivor to board the RV."
"211266","82","Boiled shoe leather is not a food group. I don't care how much you salt it. - %1$s"
"211349","55","Doghouse, how copy? I say again, Doghouse, do you copy?"
"211405","29","I've had enough of your crap!"
"211435","13","Mortar Marker"
"211449","43","How long have we got, Doc? Before he turns."
"211493","11","Water Tower"
"211505","11","Foam Rubber"
"211517","108","Has seen and done things that would freeze the blood of a normal human being. That sort of shit changes you."
"211626","83","Ma'am, this is a military facility. If you get in the way, you're on the next helo."
"211710","42","Alan has healed up from his wounds. - %1$s"
"211753","70","If we can't defend those walls, there's no point in sticking together."
"211830","132","The RV's tires are all fixed up and ready to go. Should be a smooth ride, provided we don't run over too many zombies on the way ..."
"211963","25","87 GENERIC Angela Farrell"
"211989","52","This car's gonna get us more attention than we want."
"212042","114","But the squirrels are just fine. Hell, probably better--I've never seen a zombie go after a squirrel. Just saying."
"212157","105","%1$s is an associate of Dr. Thomas Horn. We're hoping they have intel that can help us fight this plague."
"212263","97","Used to blow stuff up in his backyard with a buddy. Never thought he'd get to do it for a living!"
"212361","33","We could use a few more outposts."
"212395","37","Has anyone out there seen my brother?"
"212433","10","I'm sorry."
"212444","40","We don't have enough guns for everybody."
"212485","57","I just saw that truck again. I think they're watching us."
"212543","108","Thanks to some solid tactical planning, we've managed to recover some usable fuel from the surrounding area."
"212652","17","100 HERO Ed Jones"
"212670","13","Storage Space"
"212684","33","Here. A little something for you."
"212718","47","Hey, you mind helping us out with this project?"
"212774","39","Recovered pack of someone's belongings."
"212822","17","HISTORY: Ran Away"
"212840","23","129 HERO Amelia Crasman"
"212864","54","Difficulty Level determines how hard and how rewarding"
"212919","111","For now, that's a good enough reason. It's bad enough fighting zeds, I don't want to fight the Wilkersons, too."
"213031","35","Wants to get to the Ranger Station."
"213067","84","Alright folks, let's do this quick. Let's get our shit and get the fuck out of here."
"213152","55","Highroad, Hadley Westen is officially your problem now."
"213208","46","There's food here. Looks like it's still good."
"213255","30","Located an area that has AMMO."
"213286","27","Essential for home defense."
"213314","36","Wasted ammunition blowing off steam."
"213351","229","We've met up with what remains of our second squad. They were sent in to prep the LZ, but came under heavy attack by zombies. They've lost their comms officer, and several others. But %1$s held things together until we got there."
"213581","42","Toss this to target an area for artillery."
"213624","155","I just don't think we should be so friendly with them, you know? I mean, yeah, not many people left, stupid to burn bridges, yadda yadda yadda, I get that."
"213780","18","I don't have time."
"213799","20","We're getting close."
"213825","29","85 GENERIC Lindsey Carruthers"
"213855","52","I see why folks around here think you're so amazing."
"213908","37","Just let us go! I-I've got kids, man!"
"213946","49","Escort a refugee and their supplies back to base."
"213996","45","Buy one get one on merchandise at all stores."
"214042","114","Let me tell you, there's nothing like staring death in the face to make you really reevaluate your life decisions."
"214157","320","The city of Danforth is almost completely overrun with zombies. Press [ul_map_menu] to view the map. The red areas are Danger Zones. One step inside a Danger Zone will attract a swarm of zombies from the urban center. Use the elevated highway to navigate the outskirts of the city, and stay out of harm's way ... mostly."
"214478","8","...What?"
"214487","10","Good kill."
"214498","80","I think I remember seeing a ranger station on the way in. Might be worth a look."
"214579","24","Good trade, let's do it."
"214604","69","cuz I'd be more than happy to nail you to a tree and use you as bait."
"214674","87","I was just thinking about a few of my buddies who were on leave when all this shit hit."
"214762","22","HOME: Failed Expulsion"
"214785","37","Hey, I think that place is inhabited!"
"214823","25","Research Ammo Manufacture"
"214849","34","All right. You did what you could."
"214884","71","It's never gonna get any better, is it? This is the way the world ends."
"214956","9","SMG: M1A1"
"214966","9","Takes %s."
"214976","34","134 STORY Captain Diane Montressor"
"215011","68","Because the MidgameCheat flag is set, the library has been unlocked."
"215085","21","Need a Munitions Shop"
"215107","14","Pace yourself."
"215122","11","Here we go!"
"215134","83","So the next time you guys get into an argument, try using your words. Sound it out."
"215218","40","Prevents mishaps when making explosives."
"215259","47","Well, that's better than getting killed, right?"
"215307","12","Rebel Spirit"
"215320","11","Stethoscope"
"215332","9","Methadone"
"215342","40","Those dipdunks got us a way out of here?"
"215389","85","You know, in Chinese the word for ""crisis"" is the same as the word for ""opportunity."""
"215475","41","Got eyes on some good stuff for the base."
"215517","40","A whole bunch of our food just went bad!"
"215572","69","Doc? Doc's busy. Gotta fix up my baby brother 'fore he goes anywhere."
"215642","18","Let's make a deal."
"215661","18","I gotta fall back!"
"215680","52","Jack? Jack, do you copy? Dammit, man, where are you?"
"215733","25","We could use a diversion."
"215759","21","Madison Grant is dead"
"215781","77","To build trust with other soldiers, invite them to accompany you on missions."
"215859","27","Master the use of Shotguns."
"215887","142","We've got a pretty good handle on treating people's injuries, but there's a lot more going on out there than sprained ankles and zombie bites."
"216030","26","Just leave me alone, okay?"
"216057","57","Sure. I understand. You've still got food for us, though?"
"216115","43","Zombies up ahead. Go through, or go around?"
"216159","24","Stand by, Greyhound One."
"216184","40","Here. A little something for the pantry."
"216225","19","Supply Run Aborted!"
"216245","33","Hmmm. Might be some people there."
"216279","21","Do not open the door!"
"216301","55","Almost ready. Just got to take care of one thing first."
"216363","25","Good leadership pays off."
"216389","172","Never thought I'd miss the paper so much. I used to look forward to that morning thump against my door, but the only ones I hear now are from those things trying to get in."
"216562","35","I'll get someone out there A-S-A-P!"
"216598","100","Would allow us to create more effective stimulants (Uses up medical supplies.) REQUIRES MEDICAL LAB."
"216699","18","%1$s is depressed."
"216718","30","Located an area that has FUEL."
"216755","137","What can I do? Well, I can make you a website on... paper? Yeah, not an ideal career path for the apocalypse, I guess. (Computer skills.)"
"216893","60","How about we go together? I'll make sure nobody bothers you."
"216954","22","A dorm area with beds."
"216977","34","Have this. Better safe than sorry."
"217012","38","We're in luck, it's still a small one."
"217051","183","Rather than charging in blindly, Lily suggests using elevated survey locations to spot areas of heavy zombie activity and scope out places that are likely to have useful stuff. - %1$s"
"217235","72","Jacob! Oh, thank God! When I heard what happened I thought I'd lost you!"
"217308","11","Quick Study"
"217320","81","Pretty sure if I try to run they'd swarm me in a few seconds flat. I need a ride."
"217402","32","This damn thing needs a tune-up."
"217435","19","Let me think on it."
"217470","118","Uses up Fuel to provide electricity to the base. (Some facilities and actions require electricity.) REQUIRES WORKSHOP."
"217589","96","Say, you want to try something really cathartic? Head up this way, I want to show you something."
"217686","38","Who talked me into carrying this shit?"
"217725","106","PERSONAL SKILL. I forget, do you drink when you miss a shot or when you make a shot? Oh well, let's drink!"
"217832","74","A sign in change occurred. You are now being returned to the title screen."
"217914","18","Or whatever it is."
"217933","16","Goddamn miracle."
"217950","37","Runners should be getting close soon."
"217988","16","Doc's In Trouble"
"218005","14","Hey dawg, sup?"
"218020","35","You're doing great stuff out there."
"218056","23","Too many missed chances"
"218080","21","Damn shame about Eli."
"218102","15","Upgrade Delayed"
"218118","53","Long barrel custom revolver using the .500 S&W round."
"218172","11","Bogatz, PhD"
"218184","49","Found a bunch of dead people on patrol yesterday."
"218234","22","Things didn't go well."
"218257","65","Guess those zeds shoulda known better than to fuck with you, huh?"
"218323","49","Chemical Incendiaries available for construction."
"218373","143","The Assets page is where you can get an overview of your Community's Assets. Use the D-Pad to highlight specific items to get more information."
"218518","73","Status and Possessions show statistical information about your Community."
"218593","89","Stockpiles are the resources you'll need to keep your Community alive, safe, and healthy."
"218683","47","Getting some fresh air and a change of scenery."
"218731","129","Knowing that an entire community is looking to me for guidance and support gives me the strength to carry on when all seems lost."
"218861","144","I don't know any Sergeant Eldridge ... we had an Agency operation over at Doghouse, before it went dark. Not much chance of contacting them now."
"219006","85","She just tried to call out on her cell phone ten minutes ago, from the same location."
"219092","30","SURVIVAL TACTICS: Collect Ammo"
"219131","46","Kill 3 zombies with an exploding propane tank."
"219183","15","ASK THE SHERIFF"
"219199","91","Hey, call me a coward, but things were going to hell. It didn't make sense to stick around."
"219291","38","Shouldn't be too much trouble, though."
"219330","31","That outpost is up and running."
"219362","78","Refers to his body as his ""instrument"". Other people refer to him as a ""tool""."
"219441","17","Basic Supply Drop"
"219465","26","The right flank. Watch it."
"219492","17","Surgery Contacted"
"219510","47","Seems like we've started to turn a corner here."
"219558","39","First, do no harm. (Medical knowledge.)"
"219598","14","Rucksack of %s"
"219613","16","See what I mean?"
"219630","47","Hey, we're all angry at the hand we been dealt."
"219686","22","53 GENERIC Ashley Lake"
"219709","11","Pipe Wrench"
"219721","69","%1$s didn't have enough support to clear out that infestation. - %2$s"
"219793","34","Shit, this is gonna get me killed."
"219828","101","That's what happens when we don't have a clean place to prepare our food. This place needs a kitchen."
"219930","20","Requires SURLY BOSS."
"219957","160","Old and reliable, these pickups continue to be a favorite of the farmers who count on them every day. Slow but steady. Room for two in front and two in the bed."
"220118","86","Ever since that IED attack, it's been hard to remember things reliably. (Reduced Wits)"
"220205","12","STATUS: Sick"
"220218","32","We're probably too late already."
"220251","20","Requires Electricity"
"220272","13","Loves to Cook"
"220286","33","You're in for a world of hurtin'!"
"220320","9","Game Type"
"220330","35","'We're surrounded by infestations!'"
"220366","101","All right, hop to it. Let's get this done and get the hell out. Try to keep the zombies outside, huh?"
"220468","40","Drop everything you have on my position!"
"220509","61","ADD MISSION. Earn a little more goodwill with the Wilkersons."
"220571","69","Create Weapons in the Workshop 5 Times. (Breakdown Level 3 or Higher)"
"220641","14","Sprained Wrist"
"220656","13","Absent-minded"
"220670","86","You know, when we first set up camp here, the Captain designated this as our R&R spot?"
"220757","90","The zeds may have numbers, but as long as we keep rebuilding, we've got a fighting chance."
"220848","59","Delay your decision. They might be willing to wait a while."
"220908","16","Attempted Murder"
"220925","29","Search for the Bloated Zombie"
"220955","37","Hey buddy, suck it up and get moving!"
"220993","43","So what are you waiting for? Let's move it!"
"221044","27","153 HERO Pvt Royell Vincent"
"221072","53","Okay. I think that's all we should carry in one trip."
"221126","42","Good thing I brought my rubber hose, then."
"221169","17","It's not too far."
"221187","76","Thinks that's nonsense. Our top priority has to be taking care of ourselves."
"221264","29","All right, let's go try this."
"221294","29","Things look kinda bleak, huh?"
"221324","33","So he'll come see Ed next, right?"
"221358","28","Hey, look at your map again."
"221390","6","No Gun"
"221397","58","Creates a few homemade explosives. Small chance of mishap."
"221459","36","Cries for days if she stubs her toe."
"221496","44","Highroad, Hadley Westen is your problem now."
"221541","11","Heads down!"
"221553","24","Escape: Disinfect the RV"
"221578","58","They must be gettin' pretty scared out there, so let's go."
"221637","32","Don't I need a firearm for that?"
"221670","18","Alamo Food Storage"
"221689","42","Has anybody seen Jack? He's still missing."
"221746","25","Waypoint (Potential Home)"
"221772","91","I don't think there's anybody left that's not hurt. Before long we're all gonna be screwed."
"221864","121","I just got aerial confirmation that Thomas Horn is dead in the street, because you apparently had something better to do."
"221991","61","Scout says we have a feral on the loose. Probably hunting us."
"222053","26","82 GENERIC Billy Bob Hicks"
"222080","13","Thanks honey."
"222094","25","We got zeds on your left!"
"222120","25","MISSION: Missing Survivor"
"222146","51","A popular battle rifle worldwide for over 50 years."
"222198","32","Nice to get some reinforcements."
"222231","20","Hobbyist's Materials"
"222252","13","Pro Wrestling"
"222266","28","A favorite of movie badguys."
"222295","71","I saw a few of those Army jeeps driving around while I was in Marshall."
"222367","43","Anybody out there? We need help, right now!"
"222411","16","SitRep: Portugal"
"222428","14","Abandoned Site"
"222449","65","Be careful. You know zombies love radio beacons. For some reason."
"222515","11","Loved Books"
"222527","20","Let's rock and roll!"
"222548","44","You mind me asking which way you're leaning?"
"222593","37","Okay. Got what we needed. Let's roll."
"222631","21","I don't know anymore."
"222653","45","I trust this won't be repeated in the future?"
"222699","106","It's not a bite! Relax! I just need a little bit from our medical stocks and I'll be right as rain. - %1$s"
"222806","41","Gets the fuckin' blood pumpin', don't it?"
"222848","12","Heavy Kanabo"
"222861","17","Medical Treatment"
"222879","37","What did the HFF learn from Dr. Horn?"
"222917","62","You kick the bucket and who's gonna save my fucking soul, huh?"
"222987","74","Those who take on the mantle of leadership often suffer under its burdens."
"223062","78","Even the army is made out of people who mean well despite their many mistakes."
"223147","34","Located an area that has MEDICINE."
"223182","19","5 MIL Lt Sara Emery"
"223202","23","39 GENERIC Dennis Cross"
"223226","44","I got a thought. How about movin' over here?"
"223271","34","All right then. Let's get to work."
"223306","66","Feels like I'm trying to give birth to a nuclear explosion. - %1$s"
"223373","58","The outbreak condition in Atlanta has worsened to SERIOUS."
"223433","69","Army units have withdrawn to Georgia Tech campus to fortify position."
"223503","18","Scene of the Crime"
"223522","18","Nah, probably not."
"223541","46","You're one badass motherfucker, you know that?"
"223588","15","Contact! Feral!"
"223604","78","Why do I doubt you're helping this guy out of the goodness of your own hearts?"
"223683","81","Listen, we can do this fast, we can do it good, and we can do it cheap. Pick two."
"223765","13","Alan is back."
"223779","12","Kiss my ass!"
"223792","125","I get it, life sucks, waah waah. But you gotta learn to put that shit someplace where it won't get you killed. End of lesson."
"223918","56","Looks like you're near the HFF office. Anything unusual?"
"223975","112","Climbed up high and got a good look at the surrounding environs. It's important to do this periodically. - %1$s."
"224096","70","You get allergies, you blow your nose like a man and get back to work!"
"224167","27","Hey, I could use your help!"
"224195","15","Ask about Carl?"
"224211","9","Influence"
"224221","17","HURT: Busted Arm."
"224239","21","Critical human deaths"
"224261","51","Okay, let's get the hell out of here! Lead the way!"
"224313","18","Surveyed the area."
"224340","43","How'd you end up working in a soup kitchen?"
"224384","22",".44-caliber Ammunition"
"224418","20","Liked Range Shooting"
"224439","25","Keep clear of the window!"
"224465","31","This one might be worth a look."
"224497","43","Here you go. My pack was too heavy anyways."
"224541","13","Military Base"
"224555","42","We just wrapped up a construction project."
"224598","10","10 seconds"
"224609","8","LESSON 3"
"224618","62","I Gotta be honest, I'm not sure how safe I feel here any more."
"224681","81","Trouble is, we can't ever get a real break, can we? I mean, not from all of this."
"224763","33","Turkish competitor to the Mod SG."
"224797","54","Distraction means you lead zeds AWAY from us, dipshit!"
"224852","30","Zombie Horde Nearing Location!"
"224883","83","I'm looking forward to having the leisure time to solve this someday. Highroad out."
"224967","34","It's time for a change in scenery."
"225008","23","That one looks vicious."
"225032","13","Discovered %s"
"225046","35","They might still be alive in there!"
"225082","8","Danielle"
"225091","16","DANGER: Epidemic"
"225108","8","Screamer"
"225117","86","We need a better idea of what's out there. Somebody want to give us a lay of the land?"
"225204","100","Random maulings, violent incidents at hospitals, black helicopters in the sky... just strange stuff."
"225305","32","Blue items active during Aiming."
"225338","10","Gilbraithe"
"225349","13","%2$s rescued."
"225363","26","Created 3 Barrels of Fuel."
"225390","44","FOOD is key for keeping the community alive."
"225435","138","When the capital falls, and everything you stand for crumbles under the weight of twenty thousand hungry zeds, it'll all be thanks to you."
"225574","19","Antibiotic Ointment"
"225594","8","Chem Lab"
"225603","123","I know you don't owe us anything, but if you'd be willing to help us look, I mean we'd definitely make it worth your while."
"225727","18","Won't be long now."
"225746","29","Stay calm, let's look around."
"225776","124","Restores max stamina a little. It's cold, it's stale, and I think it was filtered with zombie guts, but dammit, it's coffee."
"225901","53","I think we've got room for you, if you're interested."
"225955","8","Jackpot."
"225964","30","Huh. Not many zeds over there."
"225995","21","She was a prostitute?"
"226017","18","E-T-A is imminent."
"226042","120","Well, tonight's menu features beans, with a side of beans in a bean demiglace over a bed of beans avec buerre Argentine."
"226163","88","We've got a fresh crop ready to harvest. Better get on that before it all starts to rot."
"226252","27","Stockpile maximum exceeded."
"226280","92","Met some folks holed up in the grange outside Marshall. Decent folks, just hanging on. -%1$s"
"226373","17","122 STORY Soldier"
"226391","31","Here's our side of the bargain."
"226425","22","Don't let them inside!"
"226448","13","%2$s wounded."
"226462","54","If nobody minds, I'd like to have a moment of silence."
"226517","34","Looking for some death from above."
"226552","21","Requires PHOTO SHOOT."
"226574","19","ATTITUDE: Depressed"
"226594","24","101 STORY Nicholas Forge"
"226619","180","We helped %1$s collect their supplies and bring them back to base. We don't exactly have permission to extract random civilians, but at this point, every living human is important."
"226800","139","Dammit, %1$s, you want to stop wasting our ammo AND drawing zombie attention? Clear your chamber before you start cleaning your gun. - %2$s"
"226940","14","User Interface"
"226955","75","Fuckers kicked us to the curb. Left us in the woods like an unwanted puppy."
"227031","39","Scratch that. Ignore what I was saying."
"227071","14","DANGER: Hordes"
"227086","23","[in a rush] Time to go."
"227110","8","Dr. Horn"
"227124","39","The artillery unit? Are you in contact?"
"227164","66","One zed's bad enough, and now they got themselves a fuckin' horde."
"227231","44","So what are those assholes doing down there?"
"227276","104","Has a wandering mind. Lots of trouble staying on task. Scavenging is a little frustrating. (Slower Wits)"
"227387","20","127 STORY Andy Pimms"
"227416","101","Well with the medicine situation being what it is, guess I'm just going to have to tough it out, huh?"
"227518","9","Stahlberg"
"227528","14","Serving Dishes"
"227543","16","Set Up Infirmary"
"227560","30","Guess that could be a problem."
"227591","70","START MISSION. Trade 1 Case of Ammunition for 10 Pallets of Materials."
"227662","20","On the way back now."
"227683","19","BUILT: Storage Area"
"227703","17","SICK: Black Fever"
"227721","18","Pistol: 84 Wildcat"
"227740","9","Searching"
"227750","160","Reminds me of Christmas when I was six years old. My folks stayed up all night screwing together this tree fort in the backyard. They told me it was from Santa."
"227911","14","Modified Sedan"
"227926","105","This would give us more spots for sleeping. Just need to clear out the remnants of... what happened here."
"228032","81","I'm already starting to forget what it felt like to be worried about normal shit."
"228121","14","Special Forces"
"228136","67","Jesus Christ, like we don't have enough problems feeding everybody?"
"228210","37","DANGER CLEARED: Too Many Infestations"
"228248","24","Added a firearms course."
"228273","37","How are our friends holding up, Lily?"
"228311","52","If I can borrow your map, I'll point it out for you."
"228364","19","Sure, just one sec."
"228384","45","Mickey? Mickey, what he hell happened to Eli?"
"228430","19","Artillery spotting."
"228450","230","Kilo and I have worked together since I was a new Lieutenant in Afghanistan. He's always been someone I could trust to get things done. Now that the world is falling apart, he's one of the only solid things I have left to lean on."
"228681","24","MISSION: Insubordination"
"228706","26","Target's good. Here we go."
"228733","7","Save Ed"
"228741","98","Greatly reduced Vitality and Stamina. Bed rest is advised. Good chance of recovery every 24 hours."
"228840","56","TIP: Move into a bush while crouched to hide completely."
"228897","52","Zombies up ahead. Go through, or you gonna wuss out?"
"228950","71","Unlocks the ability to create Steel Pipe Bombs. REQUIRES A WEAPONS LAB."
"229022","24","UPGRADED: Munitions Shop"
"229047","15","Loved Good Food"
"229063","17","Artillery Barrage"
"229081","52","We've lost more than one person to whatever this is."
"229134","13","Sharpshooting"
"229148","109","A feral made it inside the walls. We managed to take it out without any deaths, but %2$s was wounded. - %1$s."
"229258","51","Point me out a target and I'll wipe it off the map."
"229310","66","How about you help me out and I give you half of whatever we find?"
"229377","24","Head Toward the Gunshots"
"229402","59","Colonel Peel just chewed me out regarding poor discipline. "
"229463","128","Tried to ask what the men are supposed to do with no assignment and no contact with family, but as usual he just screamed at me."
"229602","99","Used to pantomime fighting zombies in his basement with a video camera. Now it's his full-time job."
"229702","19","Blood Pressure Cuff"
"229722","15","Natural Athlete"
"229738","12","Viking Sword"
"229751","20","Shaken up but alive."
"229772","29","Oh God, oh God oh God oh God!"
"229808","72","Jesus... like we don't have enough trouble with the walking dead? - %1$s"
"229881","33","Zeds approaching, twelve o'clock!"
"229915","44","Fine. Then maybe you should bail on us, too."
"229960","64","If you get me out of town, you can have it. I just want to live."
"230025","29","Zed activity at nine o'clock."
"230055","116","If it comes to that... I promise Alan will take care of him. Bullet to the brain before he turns. It's for the best."
"230172","32","Over there. Right side. See 'em?"
"230205","27","Appreciate the hospitality."
"230233","19","Set Up Medical Area"
"230253","8","Endgame."
"230262","71","If he doesn't get some antibiotics, he's probably not going to make it."
"230334","14","Are you crazy?"
"230349","97","He needs a hospital before he needs a job. But yeah, if anyone can do what you need ... it's him."
"230447","45","Don't even worry about it. I'm happy to help."
"230493","13","Liked to Cook"
"230507","27","42 GENERIC Marley Zimmerman"
"230535","39","People need to have somewhere to sleep!"
"230575","39","Give us a hand clearing this place out."
"230615","100","Ed's taking a turn for the worse. We aren't going to be able to treat him without Doc Hanson. - %1$s"
"230716","18","Damn, that's loud."
"230735","28","My Boss Will Kill Me, But..."
"230764","113","People don't mind you taking a few extras here and there if you're getting shit done. Just don't be a freeloader."
"230878","68","I know you're big on beefing up our base. What do you think of this?"
"230957","36","Thanks doc, you really came through."
"231002","10","Thank you."
"231013","33","DISCOVERED: Mistrustful Survivors"
"231047","75","MEDICINE RESOURCE. Someone's prescriptions. Looks like they bought in bulk."
"231129","48","Swear to God, one of these days he's gonna snap."
"231193","21","54 REF Amelia Crasman"
"231215","80","Sounds like someone's been scavenging around here. We should look into it. -%2$s"
"231296","102","I'm done for. You know it. I know it. Even that damn fool little girl knows it, she just won't say so."
"231399","55","Doesn't look like anybody made it out of here alive...."
"231455","119","What I want is for you to keep the 'Wah wah, it's the end of the world' bullshit to yourself, assuming you can do that."
"231581","43","Nails, wood, tools... the whole nine yards."
"231625","20","This might get loud!"
"231646","37","You should get back home and heal up."
"231684","39","Built his house with his own two hands."
"231724","98","Might not be a bad idea to get out of here for a while, though. You feel like going house hunting?"
"231823","57","Great. Your first left will take you right to the church."
"231881","17","ATTITUDE: Worried"
"231899","19","Guard the Perimeter"
"231919","9","Anime Fan"
"231929","30","Don't let them get behind you."
"231960","68","So many zed in the area, I don't think circling around's any better."
"232029","29","I can teach you a few things."
"232059","10","Capacitors"
"232070","72","Gain +3 AMMO for creating biodiesel fuel for another group of survivors."
"232143","75","Electrical grid is down. If we want ELECTRICITY, we'll need to generate it."
"232219","69","You stepped up for people you barely even knew. That means something."
"232289","19","This is his church."
"232309","26","Damn, that's a good point."
"232336","18","Only got one more."
"232355","103","Vince was always making me laugh. I'd like to remember that. It's just...too easy to forget people now."
"232459","31","This is Black Friday, go ahead."
"232491","67","Sounds like they're in a bad spot--might want to offer them a hand."
"232559","82","Don't laugh, it's better than people settling their differences with fists. - %1$s"
"232642","26","We're running low on food."
"232669","127","Okay, survivors, anyone else feeling just a little bit jealous of those folks who actually managed to get to the gym every day?"
"232797","10","New Allies"
"232808","126","[message start tone] My procurement facility is compromised. Secure alternate means of supply while I resolve the obstruction."
"232935","27","Claims he saw Bigfoot once."
